-40,-31,-50,-37,-37,-38,-50,-39,centro
-41,-38,-49,-39,-37,-35,-50,-42,centro
-38,-38,-45,-38,-37,-33,-50,-40,centro
-38,-36,-42,-37,-35,-31,-49,-40,centro
-40,-32,-36,-44,-36,-32,-56,-41,centro
-47,-33,-39,-49,-39,-32,-56,-43,centro
-43,-33,-35,-49,-36,-33,-57,-40,centro
-43,-33,-35,-43,-36,-32,-57,-39,centro
-43,-33,-36,-50,-35,-32,-57,-39,centro
-43,-33,-35,-52,-36,-32,-61,-39,centro
-43,-33,-37,-43,-37,-32,-61,-39,centro
-42,-33,-37,-51,-37,-32,-58,-38,centro
-40,-33,-38,-49,-36,-33,-59,-38,centro
-41,-34,-38,-50,-35,-33,-59,-38,centro
-41,-34,-39,-50,-35,-33,-56,-39,centro
-39,-32,-38,-40,-35,-34,-54,-38,centro
-40,-32,-39,-41,-35,-34,-54,-40,centro
-40,-32,-40,-41,-36,-33,-54,-40,centro
-40,-33,-40,-44,-36,-35,-54,-38,centro
-54,-42,-39,-41,-46,-43,-44,-44,esquerda
-54,-48,-36,-42,-47,-41,-50,-51,esquerda
-51,-41,-39,-40,-46,-43,-50,-48,esquerda
-55,-43,-36,-48,-49,-50,-54,-45,esquerda
-57,-44,-36,-41,-49,-52,-49,-56,esquerda
-53,-50,-34,-40,-49,-40,-49,-56,esquerda
-56,-40,-38,-36,-52,-45,-54,-56,esquerda
-60,-40,-36,-39,-53,-45,-54,-40,esquerda
-64,-40,-36,-39,-54,-40,-45,-43,esquerda
-59,-41,-37,-35,-52,-40,-44,-50,esquerda
-58,-42,-38,-43,-53,-40,-52,-50,esquerda
-54,-42,-38,-40,-54,-38,-49,-49,esquerda
-50,-52,-42,-44,-57,-42,-52,-44,cima
-38,-41,-42,-35,-57,-53,-49,-43,cima
-40,-40,-36,-39,-49,-50,-54,-43,cima
-38,-40,-36,-38,-49,-51,-67,-43,cima
-41,-41,-37,-37,-49,-53,-52,-43,cima
-36,-39,-38,-37,-41,-56,-54,-43,cima
-37,-39,-40,-36,-55,-54,-54,-43,cima
-37,-40,-37,-36,-55,-54,-49,-43,cima
-48,-50,-40,-39,-57,-41,-51,-46,cima
-38,-50,-38,-38,-58,-48,-52,-43,cima
-31,-39,-39,-62,-45,-37,-37,-49,direita
-32,-41,-37,-56,-44,-36,-37,-39,direita
-50,-35,-41,-57,-62,-39,-52,-45,direita
-35,-34,-38,-52,-57,-34,-52,-49,direita
-35,-34,-38,-60,-75,-37,-43,-49,direita
-36,-34,-50,-54,-53,-37,-43,-51,direita
-36,-35,-50,-54,-54,-38,-52,-52,direita
-36,-35,-50,-52,-54,-37,-51,-52,direita
-36,-36,-49,-50,-54,-36,-49,-44,direita
-40,-36,-51,-53,-56,-36,-60,-52,direita
-42,-41,-35,-47,-58,-34,-40,-43,baixo
-45,-41,-35,-40,-58,-35,-39,-48,baixo
-40,-41,-35,-54,-58,-36,-41,-48,baixo
-45,-41,-37,-52,-52,-35,-42,-51,baixo
-39,-41,-37,-58,-52,-33,-43,-50,baixo
-48,-41,-37,-49,-52,-33,-46,-50,baixo
-40,-39,-36,-58,-52,-43,-46,-50,baixo
-39,-42,-37,-58,-51,-40,-52,-54,baixo
-39,-41,-35,-55,-51,-42,-51,-54,baixo
-39,-38,-35,-64,-51,-42,-50,-54,baixo
