-25,-69,-26,-25,-69,-26,-25,-69,teclado
-25,-69,-84,-25,-69,-84,-25,-69,teclado
-26,-69,-26,-26,-69,-26,-26,-69,teclado
-26,-69,-26,-26,-69,-26,-26,-69,teclado
-25,-69,-89,-25,-69,-89,-25,-69,teclado
-26,-69,-26,-26,-69,-26,-26,-69,teclado
-26,-70,-86,-26,-70,-86,-26,-70,teclado
-27,-71,-89,-27,-71,-89,-27,-71,teclado
-30,-71,-31,-30,-71,-31,-30,-71,teclado
-25,-70,-25,-25,-70,-25,-25,-70,teclado
-30,-80,-31,-30,-80,-31,-30,-80,teclado
-27,-71,-26,-27,-71,-26,-27,-71,teclado
-26,-67,-25,-26,-67,-25,-26,-67,teclado
-27,-69,-89,-27,-69,-89,-27,-69,teclado
-26,-68,-93,-26,-68,-93,-26,-68,teclado
-24,-69,-86,-24,-69,-86,-24,-69,teclado
-30,-68,-85,-30,-68,-85,-30,-68,teclado
-25,-80,-86,-25,-80,-86,-25,-80,teclado
-31,-69,-29,-31,-69,-29,-31,-69,teclado
-26,-69,-84,-26,-69,-84,-26,-69,teclado
-42,-75,-84,-42,-75,-84,-42,-75,radio
-42,-77,-75,-42,-77,-75,-42,-77,radio
-42,-76,-84,-42,-76,-84,-42,-76,radio
-42,-76,-84,-42,-76,-84,-42,-76,radio
-48,-77,-78,-48,-77,-78,-48,-77,radio
-49,-76,-87,-49,-76,-87,-49,-76,radio
-54,-75,-77,-54,-75,-77,-54,-75,radio
-43,-77,-83,-43,-77,-83,-43,-77,radio
-43,-79,-78,-43,-79,-78,-43,-79,radio
-42,-73,-85,-42,-73,-85,-42,-73,radio
-42,-78,-78,-42,-78,-78,-42,-78,radio
-41,-75,-78,-41,-75,-78,-41,-75,radio
-66,-80,-79,-66,-80,-79,-66,-80,radio
-41,-76,-83,-41,-76,-83,-41,-76,radio
-41,-80,-78,-41,-80,-78,-41,-80,radio
-42,-74,-74,-42,-74,-74,-42,-74,radio
-43,-80,-79,-43,-80,-79,-43,-80,radio
-42,-75,-84,-42,-75,-84,-42,-75,radio
-66,-77,-73,-66,-77,-73,-66,-77,radio
-43,-74,-82,-43,-74,-82,-43,-74,radio
-63,-88,-88,-63,-88,-88,-63,-88,porta
-63,-90,-62,-63,-90,-62,-63,-90,porta
-66,-84,-66,-66,-84,-66,-66,-84,porta
-65,-87,-85,-65,-87,-85,-65,-87,porta
-68,-88,-85,-68,-88,-85,-68,-88,porta
-69,-89,-89,-69,-89,-89,-69,-89,porta
-72,-89,-72,-72,-89,-72,-72,-89,porta
-66,-83,-86,-66,-83,-86,-66,-83,porta
-66,-83,-91,-66,-83,-91,-66,-83,porta
-64,-88,-82,-64,-88,-82,-64,-88,porta
-68,-81,-69,-68,-81,-69,-68,-81,porta
-71,-86,-89,-71,-86,-89,-71,-86,porta
-65,-82,-64,-65,-82,-64,-65,-82,porta
-78,-88,-88,-78,-88,-88,-78,-88,porta
-65,-89,-67,-65,-89,-67,-65,-89,porta
-65,-84,-66,-65,-84,-66,-65,-84,porta
-64,-88,-90,-64,-88,-90,-64,-88,porta
-67,-85,-66,-67,-85,-66,-67,-85,porta
-64,-87,-89,-64,-87,-89,-64,-87,porta
-63,-89,-65,-63,-89,-65,-63,-89,porta
